# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
12.025        	-7.440774e-03	2.391886e+01	4.076103e-03	-5.402722e-03	9.478826e-03
12.05         	-8.350660e-03	2.391803e+01	4.134714e-03	-6.283302e-03	1.041802e-02
12.075        	-8.338533e-03	2.391926e+01	4.070782e-03	-6.303142e-03	1.037392e-02
12.1          	-9.048502e-03	2.391610e+01	4.037344e-03	-7.029830e-03	1.106717e-02
12.125        	-9.093425e-03	2.391380e+01	3.961566e-03	-7.112642e-03	1.107421e-02
12.15         	-9.317703e-03	2.390838e+01	4.132684e-03	-7.251361e-03	1.138405e-02
12.175        	-9.156381e-03	2.390430e+01	3.850055e-03	-7.231353e-03	1.108141e-02
12.2          	-9.379060e-03	2.389450e+01	4.071579e-03	-7.343270e-03	1.141485e-02
12.225        	-8.944125e-03	2.388838e+01	3.910943e-03	-6.988653e-03	1.089960e-02
12.25         	-9.483899e-03	2.388140e+01	4.127387e-03	-7.420206e-03	1.154759e-02
12.275        	-8.789982e-03	2.387561e+01	3.951771e-03	-6.814097e-03	1.076587e-02
12.3          	-9.127235e-03	2.386710e+01	4.151816e-03	-7.051326e-03	1.120314e-02
12.325        	-9.187559e-03	2.385921e+01	4.053936e-03	-7.160591e-03	1.121453e-02
12.35         	-9.049413e-03	2.385001e+01	4.163874e-03	-6.967476e-03	1.113135e-02
12.375        	-9.259416e-03	2.383922e+01	4.018160e-03	-7.250336e-03	1.126850e-02
12.4          	-9.309156e-03	2.382975e+01	4.116365e-03	-7.250974e-03	1.136734e-02
12.425        	-9.533814e-03	2.381568e+01	3.849569e-03	-7.609030e-03	1.145860e-02
12.45         	-9.516515e-03	2.380353e+01	4.120879e-03	-7.456076e-03	1.157696e-02
12.475        	-9.131187e-03	2.379094e+01	4.048135e-03	-7.107119e-03	1.115525e-02
12.5          	-9.163050e-03	2.377957e+01	4.067947e-03	-7.129076e-03	1.119702e-02
12.525        	-9.575118e-03	2.376610e+01	3.981141e-03	-7.584548e-03	1.156569e-02
12.55         	-9.710876e-03	2.375251e+01	4.234995e-03	-7.593379e-03	1.182837e-02
12.575        	-9.643113e-03	2.373835e+01	4.063218e-03	-7.611504e-03	1.167472e-02
12.6          	-9.695808e-03	2.372380e+01	4.165794e-03	-7.612911e-03	1.177870e-02
12.625        	-9.875524e-03	2.370759e+01	3.977289e-03	-7.886880e-03	1.186417e-02
12.65         	-9.893988e-03	2.369255e+01	4.139630e-03	-7.824172e-03	1.196380e-02
12.675        	-1.017739e-02	2.367468e+01	3.875618e-03	-8.239582e-03	1.211520e-02
12.7          	-1.012729e-02	2.365449e+01	4.179417e-03	-8.037577e-03	1.221699e-02
12.725        	-9.747562e-03	2.363839e+01	3.977868e-03	-7.758628e-03	1.173650e-02
12.75         	-9.666043e-03	2.362094e+01	4.134282e-03	-7.598902e-03	1.173318e-02
12.775        	-1.040218e-02	2.360336e+01	3.955149e-03	-8.424609e-03	1.237976e-02
12.8          	-9.975374e-03	2.358423e+01	4.128407e-03	-7.911170e-03	1.203958e-02
12.825        	-1.033177e-02	2.356529e+01	4.044659e-03	-8.309444e-03	1.235410e-02
12.85         	-1.029443e-02	2.354665e+01	4.129173e-03	-8.229842e-03	1.235902e-02
12.875        	-9.911664e-03	2.352560e+01	4.060481e-03	-7.881424e-03	1.194190e-02
12.9          	-1.017715e-02	2.350561e+01	4.138678e-03	-8.107811e-03	1.224649e-02
12.925        	-9.923239e-03	2.348467e+01	3.953643e-03	-7.946418e-03	1.190006e-02
12.95         	-9.886414e-03	2.346319e+01	4.139770e-03	-7.816529e-03	1.195630e-02
12.975        	-1.101537e-02	2.344001e+01	3.884939e-03	-9.072904e-03	1.295784e-02
13            	-9.416995e-03	2.341758e+01	4.256577e-03	-7.288706e-03	1.154528e-02
13.025        	-1.069630e-02	2.339573e+01	3.791647e-03	-8.800481e-03	1.259213e-02
13.05         	-9.910889e-03	2.337244e+01	4.186276e-03	-7.817751e-03	1.200403e-02
13.075        	-1.001548e-02	2.335025e+01	3.957646e-03	-8.036653e-03	1.199430e-02
13.1          	-1.071239e-02	2.332804e+01	4.101168e-03	-8.661803e-03	1.276297e-02
13.125        	-1.068775e-02	2.330371e+01	3.961730e-03	-8.706883e-03	1.266861e-02
13.15         	-1.065063e-02	2.327943e+01	4.128883e-03	-8.586189e-03	1.271507e-02
13.175        	-1.076062e-02	2.325584e+01	4.026293e-03	-8.747476e-03	1.277377e-02
13.2          	-1.073296e-02	2.323118e+01	4.066288e-03	-8.699812e-03	1.276610e-02
13.225        	-1.088022e-02	2.320676e+01	3.948383e-03	-8.906030e-03	1.285441e-02
13.25         	-1.123190e-02	2.318226e+01	4.099965e-03	-9.181916e-03	1.328188e-02
13.275        	-1.085059e-02	2.315668e+01	3.904172e-03	-8.898507e-03	1.280268e-02
13.3          	-1.134595e-02	2.313157e+01	4.093545e-03	-9.299174e-03	1.339272e-02
13.325        	-1.071438e-02	2.310633e+01	3.964115e-03	-8.732320e-03	1.269644e-02
13.35         	-1.165430e-02	2.308117e+01	4.149783e-03	-9.579405e-03	1.372919e-02
13.375        	-1.142003e-02	2.305527e+01	3.932863e-03	-9.453600e-03	1.338646e-02
13.4          	-1.128026e-02	2.302972e+01	4.128617e-03	-9.215947e-03	1.334456e-02
13.425        	-1.164866e-02	2.300300e+01	3.909764e-03	-9.693780e-03	1.360354e-02
13.45         	-1.145495e-02	2.297715e+01	4.069510e-03	-9.420197e-03	1.348971e-02
13.475        	-1.188529e-02	2.295066e+01	3.892282e-03	-9.939146e-03	1.383143e-02
13.5          	-1.191714e-02	2.292444e+01	4.007563e-03	-9.913359e-03	1.392092e-02
13.525        	-1.193008e-02	2.289753e+01	3.909821e-03	-9.975165e-03	1.388499e-02
13.55         	-1.206220e-02	2.287117e+01	4.009294e-03	-1.005755e-02	1.406684e-02
13.575        	-1.184093e-02	2.284468e+01	3.852986e-03	-9.914441e-03	1.376743e-02
13.6          	-1.194912e-02	2.281772e+01	4.042961e-03	-9.927637e-03	1.397060e-02
13.625        	-1.226766e-02	2.279097e+01	3.853118e-03	-1.034110e-02	1.419422e-02
13.65         	-1.219298e-02	2.276426e+01	3.966617e-03	-1.020967e-02	1.417628e-02
13.675        	-1.239954e-02	2.273713e+01	3.957398e-03	-1.042084e-02	1.437824e-02
13.7          	-1.229325e-02	2.271072e+01	3.901702e-03	-1.034240e-02	1.424410e-02
13.725        	-1.262868e-02	2.268419e+01	3.849799e-03	-1.070378e-02	1.455358e-02
13.75         	-1.239244e-02	2.265686e+01	3.937006e-03	-1.042394e-02	1.436095e-02
13.775        	-1.249640e-02	2.263062e+01	3.853870e-03	-1.056947e-02	1.442334e-02
13.8          	-1.263929e-02	2.260351e+01	3.928242e-03	-1.067517e-02	1.460342e-02
13.825        	-1.273558e-02	2.257694e+01	3.831818e-03	-1.081967e-02	1.465149e-02
13.85         	-1.315731e-02	2.255021e+01	3.841533e-03	-1.123654e-02	1.507808e-02
13.875        	-1.282238e-02	2.252301e+01	3.846181e-03	-1.089929e-02	1.474547e-02
13.9          	-1.299080e-02	2.249662e+01	3.826269e-03	-1.107766e-02	1.490393e-02
13.925        	-1.299902e-02	2.246999e+01	3.809650e-03	-1.109419e-02	1.490384e-02
13.95         	-1.304654e-02	2.244357e+01	3.814636e-03	-1.113922e-02	1.495386e-02
13.975        	-1.311436e-02	2.241723e+01	3.820880e-03	-1.120392e-02	1.502480e-02
14            	-1.300636e-02	2.239111e+01	3.767474e-03	-1.112263e-02	1.489010e-02
14.025        	-1.328063e-02	2.236543e+01	3.775877e-03	-1.139269e-02	1.516857e-02
14.05         	-1.348507e-02	2.233880e+01	3.745893e-03	-1.161212e-02	1.535802e-02
14.075        	-1.349130e-02	2.231299e+01	3.782480e-03	-1.160006e-02	1.538254e-02
14.1          	-1.353603e-02	2.228718e+01	3.721666e-03	-1.167520e-02	1.539686e-02
14.125        	-1.343495e-02	2.226136e+01	3.766820e-03	-1.155154e-02	1.531836e-02
14.15         	-1.367587e-02	2.223592e+01	3.709692e-03	-1.182103e-02	1.553072e-02
14.175        	-1.341763e-02	2.221070e+01	3.785995e-03	-1.152463e-02	1.531063e-02
14.2          	-1.401280e-02	2.218552e+01	3.629269e-03	-1.219817e-02	1.582744e-02
14.225        	-1.363054e-02	2.216040e+01	3.714169e-03	-1.177345e-02	1.548762e-02
14.25         	-1.380384e-02	2.213528e+01	3.661850e-03	-1.197292e-02	1.563477e-02
14.275        	-1.379852e-02	2.211043e+01	3.704901e-03	-1.194607e-02	1.565097e-02
14.3          	-1.399687e-02	2.208603e+01	3.623069e-03	-1.218533e-02	1.580840e-02
14.325        	-1.396252e-02	2.206128e+01	3.668943e-03	-1.212805e-02	1.579699e-02
14.35         	-1.380070e-02	2.203710e+01	3.586862e-03	-1.200727e-02	1.559413e-02
14.375        	-1.384536e-02	2.201310e+01	3.558243e-03	-1.206624e-02	1.562448e-02
14.4          	-1.418129e-02	2.198938e+01	3.690564e-03	-1.233600e-02	1.602657e-02
14.425        	-1.408294e-02	2.196615e+01	3.502518e-03	-1.233168e-02	1.583420e-02
14.45         	-1.416691e-02	2.194275e+01	3.696279e-03	-1.231877e-02	1.601505e-02
14.475        	-1.413704e-02	2.191954e+01	3.472055e-03	-1.240101e-02	1.587307e-02
14.5          	-1.417473e-02	2.189681e+01	3.655236e-03	-1.234712e-02	1.600235e-02
14.525        	-1.425731e-02	2.187373e+01	3.467815e-03	-1.252341e-02	1.599122e-02
14.55         	-1.420921e-02	2.185139e+01	3.626239e-03	-1.239609e-02	1.602233e-02
14.575        	-1.433632e-02	2.182915e+01	3.441511e-03	-1.261557e-02	1.605708e-02
14.6          	-1.422529e-02	2.180725e+01	3.557199e-03	-1.244669e-02	1.600388e-02
14.625        	-1.431680e-02	2.178505e+01	3.460983e-03	-1.258631e-02	1.604729e-02
14.65         	-1.422988e-02	2.176358e+01	3.484358e-03	-1.248770e-02	1.597206e-02
14.675        	-1.433082e-02	2.174257e+01	3.481030e-03	-1.259031e-02	1.607134e-02
14.7          	-1.439011e-02	2.172150e+01	3.407024e-03	-1.268659e-02	1.609362e-02
14.725        	-1.438644e-02	2.170031e+01	3.525145e-03	-1.262387e-02	1.614902e-02
14.75         	-1.435668e-02	2.167950e+01	3.340033e-03	-1.268667e-02	1.602670e-02
14.775        	-1.446637e-02	2.165964e+01	3.622881e-03	-1.265493e-02	1.627781e-02
14.8          	-1.464357e-02	2.163945e+01	3.285512e-03	-1.300081e-02	1.628632e-02
14.825        	-1.438377e-02	2.161931e+01	3.560913e-03	-1.260331e-02	1.616423e-02
14.85         	-1.451008e-02	2.159989e+01	3.269301e-03	-1.287543e-02	1.614473e-02
14.875        	-1.436653e-02	2.158054e+01	3.546312e-03	-1.259338e-02	1.613969e-02
14.9          	-1.444894e-02	2.156160e+01	3.242027e-03	-1.282793e-02	1.606995e-02
14.925        	-1.434404e-02	2.154316e+01	3.551596e-03	-1.256824e-02	1.611983e-02
14.95         	-1.461392e-02	2.152474e+01	3.234395e-03	-1.299672e-02	1.623111e-02
14.975        	-1.432903e-02	2.150617e+01	3.484979e-03	-1.258654e-02	1.607152e-02
15            	-1.453039e-02	2.148836e+01	3.213377e-03	-1.292370e-02	1.613708e-02
15.025        	-1.423221e-02	2.147032e+01	3.493684e-03	-1.248537e-02	1.597905e-02
15.05         	-1.451509e-02	2.145289e+01	3.181942e-03	-1.292412e-02	1.610606e-02
15.075        	-1.425310e-02	2.143576e+01	3.389876e-03	-1.255816e-02	1.594803e-02
15.1          	-1.444005e-02	2.141879e+01	3.243272e-03	-1.281842e-02	1.606169e-02
15.125        	-1.426634e-02	2.140209e+01	3.394342e-03	-1.256917e-02	1.596351e-02
15.15         	-1.425977e-02	2.138563e+01	3.228100e-03	-1.264572e-02	1.587382e-02
15.175        	-1.421665e-02	2.136997e+01	3.464351e-03	-1.248448e-02	1.594883e-02
15.2          	-1.426420e-02	2.135375e+01	3.145104e-03	-1.269165e-02	1.583675e-02
15.225        	-1.421490e-02	2.133830e+01	3.370976e-03	-1.252941e-02	1.590039e-02
15.25         	-1.425614e-02	2.132283e+01	3.183728e-03	-1.266428e-02	1.584801e-02
15.275        	-1.414272e-02	2.130802e+01	3.330344e-03	-1.247755e-02	1.580789e-02
15.3          	-1.417462e-02	2.129315e+01	3.187192e-03	-1.258102e-02	1.576821e-02
15.325        	-1.399589e-02	2.127853e+01	3.351043e-03	-1.232037e-02	1.567142e-02
15.35         	-1.420784e-02	2.126450e+01	3.142437e-03	-1.263662e-02	1.577906e-02
15.375        	-1.396578e-02	2.124976e+01	3.380344e-03	-1.227561e-02	1.565595e-02
15.4          	-1.407589e-02	2.123638e+01	3.099315e-03	-1.252623e-02	1.562555e-02
15.425        	-1.383315e-02	2.122277e+01	3.368654e-03	-1.214882e-02	1.551748e-02
15.45         	-1.399267e-02	2.120947e+01	3.060921e-03	-1.246221e-02	1.552313e-02
15.475        	-1.393497e-02	2.119616e+01	3.409095e-03	-1.223042e-02	1.563952e-02
15.5          	-1.378259e-02	2.118375e+01	3.036696e-03	-1.226425e-02	1.530094e-02
15.525        	-1.367998e-02	2.117105e+01	3.430608e-03	-1.196468e-02	1.539529e-02
15.55         	-1.362295e-02	2.115927e+01	3.067624e-03	-1.208913e-02	1.515676e-02
15.575        	-1.380291e-02	2.114720e+01	3.204926e-03	-1.220045e-02	1.540538e-02
15.6          	-1.354770e-02	2.113499e+01	3.217013e-03	-1.193919e-02	1.515620e-02
15.625        	-1.352625e-02	2.112373e+01	3.127496e-03	-1.196250e-02	1.509000e-02
15.65         	-1.330679e-02	2.111162e+01	3.291590e-03	-1.166100e-02	1.495259e-02
15.675        	-1.327742e-02	2.110116e+01	3.062880e-03	-1.174598e-02	1.480886e-02
15.7          	-1.312433e-02	2.109051e+01	3.332303e-03	-1.145818e-02	1.479048e-02
15.725        	-1.303184e-02	2.107932e+01	2.978139e-03	-1.154277e-02	1.452091e-02
15.75         	-1.331945e-02	2.106920e+01	3.404066e-03	-1.161742e-02	1.502148e-02
15.775        	-1.274102e-02	2.105893e+01	2.965373e-03	-1.125833e-02	1.422371e-02
15.8          	-1.311668e-02	2.104933e+01	3.303570e-03	-1.146489e-02	1.476846e-02
15.825        	-1.287208e-02	2.104020e+01	3.041167e-03	-1.135150e-02	1.439267e-02
15.85         	-1.281852e-02	2.103048e+01	3.286082e-03	-1.117548e-02	1.446156e-02
15.875        	-1.298321e-02	2.102055e+01	3.051024e-03	-1.145770e-02	1.450872e-02
15.9          	-1.259329e-02	2.101164e+01	3.262960e-03	-1.096181e-02	1.422477e-02
15.925        	-1.257506e-02	2.100253e+01	3.033867e-03	-1.105812e-02	1.409199e-02
15.95         	-1.246361e-02	2.099392e+01	3.299827e-03	-1.081370e-02	1.411353e-02
15.975        	-1.229004e-02	2.098511e+01	2.933455e-03	-1.082331e-02	1.375677e-02
16            	-1.261133e-02	2.097734e+01	3.391660e-03	-1.091550e-02	1.430716e-02
16.025        	-1.191417e-02	2.096972e+01	2.975442e-03	-1.042645e-02	1.340189e-02
16.05         	-1.229283e-02	2.096152e+01	3.304481e-03	-1.064059e-02	1.394507e-02
16.075        	-1.176975e-02	2.095393e+01	2.986557e-03	-1.027647e-02	1.326303e-02
16.1          	-1.213294e-02	2.094645e+01	3.308994e-03	-1.047845e-02	1.378744e-02
16.125        	-1.182638e-02	2.093907e+01	2.998516e-03	-1.032712e-02	1.332564e-02
16.15         	-1.176147e-02	2.093196e+01	3.277998e-03	-1.012247e-02	1.340046e-02
16.175        	-1.164896e-02	2.092516e+01	3.036005e-03	-1.013096e-02	1.316696e-02
16.2          	-1.117372e-02	2.091872e+01	3.186404e-03	-9.580523e-03	1.276693e-02
16.225        	-1.120292e-02	2.091185e+01	2.900785e-03	-9.752526e-03	1.265331e-02
16.25         	-1.144642e-02	2.090635e+01	3.358585e-03	-9.767125e-03	1.312571e-02
16.275        	-1.136052e-02	2.089977e+01	2.968333e-03	-9.876351e-03	1.284468e-02
16.3          	-1.086822e-02	2.089366e+01	3.273451e-03	-9.231495e-03	1.250495e-02
16.325        	-1.084724e-02	2.088844e+01	3.019673e-03	-9.337404e-03	1.235708e-02
16.35         	-1.073133e-02	2.088293e+01	3.201499e-03	-9.130583e-03	1.233208e-02
16.375        	-1.061221e-02	2.087816e+01	3.138458e-03	-9.042979e-03	1.218144e-02
16.4          	-1.050865e-02	2.087262e+01	3.022553e-03	-8.997373e-03	1.201993e-02
16.425        	-1.060783e-02	2.086667e+01	3.118587e-03	-9.048538e-03	1.216712e-02
16.45         	-1.055297e-02	2.086162e+01	3.221632e-03	-8.942158e-03	1.216379e-02
16.475        	-1.035993e-02	2.085736e+01	3.123078e-03	-8.798387e-03	1.192147e-02
16.5          	-1.027586e-02	2.085368e+01	3.204594e-03	-8.673559e-03	1.187815e-02
16.525        	-1.001539e-02	2.084922e+01	3.118562e-03	-8.456108e-03	1.157467e-02
16.55         	-1.007813e-02	2.084497e+01	3.151544e-03	-8.502359e-03	1.165390e-02
16.575        	-9.921792e-03	2.084045e+01	3.139764e-03	-8.351910e-03	1.149167e-02
16.6          	-9.726898e-03	2.083654e+01	3.152618e-03	-8.150589e-03	1.130321e-02
16.625        	-9.625226e-03	2.083273e+01	3.170600e-03	-8.039926e-03	1.121053e-02
16.65         	-9.423218e-03	2.082912e+01	3.105351e-03	-7.870542e-03	1.097589e-02
16.675        	-9.389468e-03	2.082624e+01	3.270357e-03	-7.754290e-03	1.102465e-02
16.7          	-9.364993e-03	2.082306e+01	3.057406e-03	-7.836290e-03	1.089370e-02
16.725        	-9.476081e-03	2.081975e+01	3.276663e-03	-7.837750e-03	1.111441e-02
16.75         	-9.062161e-03	2.081666e+01	3.105525e-03	-7.509398e-03	1.061492e-02
16.775        	-9.191057e-03	2.081447e+01	3.314052e-03	-7.534031e-03	1.084808e-02
16.8          	-8.774801e-03	2.081082e+01	3.033663e-03	-7.257969e-03	1.029163e-02
16.825        	-8.975008e-03	2.080835e+01	3.293589e-03	-7.328213e-03	1.062180e-02
16.85         	-8.513365e-03	2.080612e+01	3.052588e-03	-6.987071e-03	1.003966e-02
16.875        	-8.994480e-03	2.080327e+01	3.372010e-03	-7.308475e-03	1.068049e-02
16.9          	-8.434512e-03	2.080231e+01	3.079233e-03	-6.894896e-03	9.974129e-03
16.925        	-8.501234e-03	2.079957e+01	3.262152e-03	-6.870158e-03	1.013231e-02
16.95         	-8.359928e-03	2.079821e+01	3.111231e-03	-6.804313e-03	9.915544e-03
16.975        	-8.093479e-03	2.079606e+01	3.208247e-03	-6.489355e-03	9.697602e-03
17            	-8.072815e-03	2.079554e+01	3.223532e-03	-6.461049e-03	9.684581e-03
17.025        	-8.142260e-03	2.079341e+01	3.193240e-03	-6.545640e-03	9.738880e-03
17.05         	-7.879914e-03	2.079203e+01	3.200935e-03	-6.279447e-03	9.480382e-03
17.075        	-8.218205e-03	2.079081e+01	3.272890e-03	-6.581760e-03	9.854650e-03
17.1          	-7.527672e-03	2.079011e+01	3.179720e-03	-5.937812e-03	9.117532e-03
17.125        	-7.942103e-03	2.078898e+01	3.302602e-03	-6.290801e-03	9.593404e-03
17.15         	-7.356501e-03	2.078845e+01	3.142440e-03	-5.785281e-03	8.927720e-03
17.175        	-7.593516e-03	2.078764e+01	3.293193e-03	-5.946919e-03	9.240113e-03
17.2          	-7.323268e-03	2.078805e+01	3.239955e-03	-5.703291e-03	8.943246e-03
17.225        	-7.168556e-03	2.078700e+01	3.138553e-03	-5.599280e-03	8.737833e-03
17.25         	-7.238647e-03	2.078652e+01	3.218414e-03	-5.629440e-03	8.847854e-03
17.275        	-7.237102e-03	2.078601e+01	3.330126e-03	-5.572039e-03	8.902165e-03
