# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
29.025        	1.187426e-05	1.188732e+00	-2.568530e-04	-1.165522e-04	-1.403008e-04
29.05         	1.183649e-05	1.188693e+00	-2.603704e-04	-1.183487e-04	-1.420217e-04
29.075        	1.180011e-05	1.188598e+00	-2.613806e-04	-1.188902e-04	-1.424904e-04
29.1          	1.175897e-05	1.188537e+00	-2.611509e-04	-1.188165e-04	-1.423344e-04
29.125        	1.171706e-05	1.188477e+00	-2.653409e-04	-1.209534e-04	-1.443875e-04
29.15         	1.167825e-05	1.188415e+00	-2.717820e-04	-1.242127e-04	-1.475692e-04
29.175        	1.162898e-05	1.188343e+00	-2.720039e-04	-1.243730e-04	-1.476309e-04
29.2          	1.158167e-05	1.188272e+00	-2.772430e-04	-1.270399e-04	-1.502032e-04
29.225        	1.153359e-05	1.188203e+00	-2.797124e-04	-1.283226e-04	-1.513898e-04
29.25         	1.148320e-05	1.188131e+00	-2.826851e-04	-1.298593e-04	-1.528257e-04
29.275        	1.143197e-05	1.188063e+00	-2.853191e-04	-1.312276e-04	-1.540915e-04
29.3          	1.137961e-05	1.187992e+00	-2.880909e-04	-1.326658e-04	-1.554251e-04
29.325        	1.132577e-05	1.187922e+00	-2.903981e-04	-1.338733e-04	-1.565248e-04
29.35         	1.127148e-05	1.187854e+00	-2.939648e-04	-1.357109e-04	-1.582539e-04
29.375        	1.121569e-05	1.187784e+00	-2.961996e-04	-1.368841e-04	-1.593155e-04
29.4          	1.115827e-05	1.187715e+00	-2.989929e-04	-1.383382e-04	-1.606547e-04
29.425        	1.109980e-05	1.187645e+00	-3.013021e-04	-1.395513e-04	-1.617509e-04
29.45         	1.103923e-05	1.187576e+00	-3.035053e-04	-1.407134e-04	-1.627919e-04
29.475        	1.097864e-05	1.187507e+00	-3.064995e-04	-1.422711e-04	-1.642284e-04
29.5          	1.091699e-05	1.187436e+00	-3.092987e-04	-1.437324e-04	-1.655663e-04
29.525        	1.085141e-05	1.187368e+00	-3.103402e-04	-1.443187e-04	-1.660215e-04
29.55         	1.078627e-05	1.187300e+00	-3.139335e-04	-1.461805e-04	-1.677530e-04
29.575        	1.071912e-05	1.187231e+00	-3.153627e-04	-1.469622e-04	-1.684005e-04
29.6          	1.065138e-05	1.187163e+00	-3.179296e-04	-1.483134e-04	-1.696162e-04
29.625        	1.058284e-05	1.187094e+00	-3.206902e-04	-1.497623e-04	-1.709279e-04
29.65         	1.051133e-05	1.187026e+00	-3.218662e-04	-1.504218e-04	-1.714444e-04
29.675        	1.044010e-05	1.186958e+00	-3.251006e-04	-1.521102e-04	-1.729904e-04
29.7          	1.036634e-05	1.186890e+00	-3.263627e-04	-1.528150e-04	-1.735477e-04
29.725        	1.029206e-05	1.186822e+00	-3.293136e-04	-1.543648e-04	-1.749489e-04
29.75         	1.021680e-05	1.186753e+00	-3.317049e-04	-1.556357e-04	-1.760693e-04
29.775        	1.013675e-05	1.186685e+00	-3.316590e-04	-1.556928e-04	-1.759663e-04
29.8          	1.006001e-05	1.186618e+00	-3.358234e-04	-1.578517e-04	-1.779717e-04
29.825        	9.979254e-06	1.186550e+00	-3.363058e-04	-1.581736e-04	-1.781322e-04
29.85         	9.898436e-06	1.186484e+00	-3.393635e-04	-1.597833e-04	-1.795802e-04
29.875        	9.817572e-06	1.186415e+00	-3.420455e-04	-1.612052e-04	-1.808403e-04
29.9          	9.729238e-06	1.186348e+00	-3.405556e-04	-1.605486e-04	-1.800070e-04
29.925        	9.645690e-06	1.186282e+00	-3.454161e-04	-1.630624e-04	-1.823537e-04
29.95         	9.558747e-06	1.186214e+00	-3.453515e-04	-1.631170e-04	-1.822345e-04
29.975        	9.470676e-06	1.186148e+00	-3.479721e-04	-1.645154e-04	-1.834567e-04
30            	9.383151e-06	1.186080e+00	-3.504165e-04	-1.658251e-04	-1.845914e-04
30.025        	9.289174e-06	1.186013e+00	-3.492114e-04	-1.653165e-04	-1.838949e-04
30.05         	9.198528e-06	1.185947e+00	-3.530085e-04	-1.673057e-04	-1.857028e-04
30.075        	9.105326e-06	1.185880e+00	-3.529380e-04	-1.673637e-04	-1.855743e-04
30.1          	9.012566e-06	1.185814e+00	-3.560924e-04	-1.690337e-04	-1.870588e-04
30.125        	8.918266e-06	1.185748e+00	-3.581098e-04	-1.701367e-04	-1.879732e-04
30.15         	8.818444e-06	1.185681e+00	-3.568465e-04	-1.696048e-04	-1.872417e-04
30.175        	8.722592e-06	1.185615e+00	-3.609367e-04	-1.717458e-04	-1.891910e-04
30.2          	8.622983e-06	1.185549e+00	-3.604325e-04	-1.715933e-04	-1.888392e-04
30.225        	8.523401e-06	1.185484e+00	-3.628177e-04	-1.728854e-04	-1.899322e-04
30.25         	8.424650e-06	1.185417e+00	-3.652426e-04	-1.741967e-04	-1.910460e-04
30.275        	8.318358e-06	1.185351e+00	-3.630677e-04	-1.732155e-04	-1.898522e-04
30.3          	8.216586e-06	1.185287e+00	-3.671495e-04	-1.753582e-04	-1.917914e-04
30.325        	8.111748e-06	1.185221e+00	-3.668124e-04	-1.752945e-04	-1.915180e-04
