# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
120.025       	5.599620e-03	1.544047e+01	3.753967e-03	7.476603e-03	-3.722636e-03
120.05        	6.138366e-03	1.544021e+01	3.632055e-03	7.954393e-03	-4.322338e-03
120.075       	5.802775e-03	1.544027e+01	3.832757e-03	7.719154e-03	-3.886396e-03
120.1         	5.755635e-03	1.544036e+01	3.788111e-03	7.649690e-03	-3.861579e-03
120.125       	5.762565e-03	1.544034e+01	3.782449e-03	7.653789e-03	-3.871340e-03
120.15        	5.562755e-03	1.544067e+01	3.934953e-03	7.530232e-03	-3.595279e-03
120.175       	5.595420e-03	1.544033e+01	3.849109e-03	7.519974e-03	-3.670865e-03
120.2         	5.439475e-03	1.544028e+01	3.882827e-03	7.380888e-03	-3.498061e-03
120.225       	5.401037e-03	1.544029e+01	3.961478e-03	7.381776e-03	-3.420298e-03
120.25        	5.268858e-03	1.544029e+01	4.019625e-03	7.278670e-03	-3.259046e-03
120.275       	5.204763e-03	1.544077e+01	4.088144e-03	7.248834e-03	-3.160691e-03
120.3         	5.175953e-03	1.544004e+01	3.978728e-03	7.165318e-03	-3.186589e-03
120.325       	4.956521e-03	1.544067e+01	4.257859e-03	7.085450e-03	-2.827591e-03
120.35        	5.120087e-03	1.544034e+01	3.973243e-03	7.106708e-03	-3.133465e-03
120.375       	4.744845e-03	1.544059e+01	4.332124e-03	6.910907e-03	-2.578783e-03
120.4         	4.938871e-03	1.544034e+01	4.165295e-03	7.021518e-03	-2.856223e-03
120.425       	4.677635e-03	1.544036e+01	4.218020e-03	6.786645e-03	-2.568625e-03
120.45        	4.715997e-03	1.544035e+01	4.295070e-03	6.863532e-03	-2.568462e-03
120.475       	4.522747e-03	1.544081e+01	4.412161e-03	6.728827e-03	-2.316667e-03
120.5         	4.612766e-03	1.544024e+01	4.226272e-03	6.725902e-03	-2.499630e-03
120.525       	4.274497e-03	1.544054e+01	4.571858e-03	6.560426e-03	-1.988568e-03
120.55        	4.513341e-03	1.544058e+01	4.252433e-03	6.639557e-03	-2.387125e-03
120.575       	4.098871e-03	1.544058e+01	4.654729e-03	6.426236e-03	-1.771507e-03
120.6         	4.369620e-03	1.544041e+01	4.369815e-03	6.554527e-03	-2.184713e-03
120.625       	3.999896e-03	1.544044e+01	4.524290e-03	6.262041e-03	-1.737751e-03
120.65        	4.066656e-03	1.544073e+01	4.717798e-03	6.425555e-03	-1.707757e-03
120.675       	3.934593e-03	1.544052e+01	4.602094e-03	6.235640e-03	-1.633546e-03
120.7         	3.919172e-03	1.544044e+01	4.599403e-03	6.218873e-03	-1.619470e-03
120.725       	3.718461e-03	1.544081e+01	4.795288e-03	6.116105e-03	-1.320817e-03
120.75        	3.811452e-03	1.544052e+01	4.660461e-03	6.141682e-03	-1.481221e-03
120.775       	3.608541e-03	1.544048e+01	4.712823e-03	5.964952e-03	-1.252129e-03
